,Age,Avg_Daily_Screen_Time_hr,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Urban_or_Rural,Gender_Male,Primary_Device_Laptop,Primary_Device_Smartphone,Primary_Device_TV
0,14,3.99,True,0.42,Urban,1,0,1,0
1,11,4.61,True,0.3,Urban,0,1,0,0
2,18,3.73,True,0.32,Urban,0,0,0,1
3,15,1.21,False,0.39,Urban,0,1,0,0
4,12,5.89,True,0.49,Urban,0,0,1,0
5,14,4.88,True,0.44,Urban,0,0,1,0
6,17,2.97,False,0.48,Rural,1,0,0,1
7,10,2.74,True,0.54,Urban,1,0,0,1
8,14,4.61,True,0.36,Rural,1,1,0,0
9,18,3.24,True,0.48,Urban,1,0,0,0
10,18,3.53,True,0.44,Rural,1,0,0,0
11,15,4.94,True,0.36,Rural,0,0,0,1
12,12,4.59,True,0.43,Urban,1,0,1,0
13,11,6.08,True,0.48,Rural,1,0,0,1
14,15,6.15,True,0.4,Urban,1,0,1,0
15,15,3.69,True,0.34,Urban,0,0,1,0
16,10,7.1,True,0.43,Rural,0,0,1,0
17,13,6.98,True,0.48,Urban,0,0,1,0
18,12,3.82,True,0.4,Urban,1,0,1,0
19,9,0.0,False,0.42,Urban,0,0,0,1
20,15,3.85,True,0.49,Urban,1,0,1,0
21,13,4.05,True,0.33,Urban,0,0,1,0
22,9,1.63,False,0.58,Urban,0,0,0,0
23,12,6.78,True,0.33,Urban,0,0,0,1
24,8,3.19,True,0.54,Urban,1,0,0,0
25,17,4.96,True,0.32,Urban,1,0,1,0
26,13,1.85,False,0.49,Urban,0,0,1,0
27,16,4.22,True,0.5,Urban,1,0,1,0
28,8,0.31,False,0.51,Urban,1,0,1,0
29,18,5.13,True,0.43,Urban,1,0,0,1
30,18,4.45,True,0.48,Urban,1,0,1,0
31,17,3.02,True,0.39,Rural,0,0,1,0
32,10,2.16,True,0.41,Urban,1,0,0,0
33,14,4.28,True,0.34,Rural,1,0,1,0
34,11,5.34,True,0.4,Urban,0,0,1,0
35,16,3.5,True,0.4,Rural,0,1,0,0
36,10,11.68,True,0.47,Urban,1,0,0,1
37,12,1.63,False,0.5,Urban,0,0,1,0
38,10,4.63,True,0.47,Urban,1,0,1,0
39,14,4.21,True,0.38,Urban,1,0,0,1
40,12,4.56,True,0.5,Urban,1,0,1,0
41,16,3.51,True,0.44,Urban,0,0,0,1
42,14,4.69,True,0.35,Urban,0,0,1,0
43,9,7.61,True,0.5,Urban,1,0,0,1
44,11,2.75,False,0.35,Rural,1,0,1,0
45,16,6.74,True,0.42,Urban,1,0,0,1
46,9,0.0,False,0.47,Urban,0,0,1,0
47,17,2.34,False,0.48,Rural,1,0,1,0
48,16,2.85,False,0.3,Rural,1,0,1,0
49,17,4.29,True,0.39,Rural,1,1,0,0
50,12,6.03,True,0.39,Urban,1,0,0,1
51,9,1.06,False,0.42,Urban,0,0,1,0
52,11,2.83,False,0.4,Urban,1,0,1,0
53,14,3.92,True,0.47,Urban,1,0,1,0
54,15,4.55,True,0.39,Urban,1,0,1,0
55,10,6.86,True,0.56,Rural,0,0,1,0
56,8,3.47,True,0.41,Rural,1,0,0,1
57,11,4.61,True,0.46,Urban,0,0,0,0
58,9,0.0,False,0.59,Rural,1,0,1,0
59,15,3.47,True,0.41,Rural,1,0,1,0
60,11,4.31,True,0.42,Urban,1,0,0,1
61,9,2.3,True,0.45,Urban,1,0,1,0
62,13,4.5,True,0.38,Urban,1,1,0,0
63,13,2.65,False,0.38,Rural,0,1,0,0
64,17,5.34,True,0.43,Urban,1,1,0,0
65,11,3.87,True,0.43,Urban,1,0,0,1
66,13,5.67,True,0.41,Urban,1,0,0,0
67,9,3.8,True,0.53,Rural,0,0,0,1
68,17,4.61,True,0.34,Rural,1,0,0,1
69,9,0.9,False,0.6,Rural,1,0,0,0
70,17,3.3,True,0.42,Urban,0,0,0,1
71,11,5.12,True,0.31,Urban,1,0,0,1
72,15,5.82,True,0.48,Urban,0,0,0,1
