,Age,Avg_Daily_Screen_Time_hr,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Urban_or_Rural,Gender_Female,Gender_Male,Primary_Device_Laptop,Primary_Device_Smartphone,Primary_Device_TV,Primary_Device_Tablet
0,14,3.99,True,0.42,Urban,False,True,False,True,False,False
1,11,4.61,True,0.3,Urban,True,False,True,False,False,False
2,18,3.73,True,0.32,Urban,True,False,False,False,True,False
3,15,1.21,False,0.39,Urban,True,False,True,False,False,False
4,12,5.89,True,0.49,Urban,True,False,False,True,False,False
5,14,4.88,True,0.44,Urban,True,False,False,True,False,False
6,17,2.97,False,0.48,Rural,False,True,False,False,True,False
7,10,2.74,True,0.54,Urban,False,True,False,False,True,False
8,14,4.61,True,0.36,Rural,False,True,True,False,False,False
9,18,3.24,True,0.48,Urban,False,True,False,False,False,True
10,18,3.53,True,0.44,Rural,False,True,False,False,False,True
11,15,4.94,True,0.36,Rural,True,False,False,False,True,False
12,12,4.59,True,0.43,Urban,False,True,False,True,False,False
13,11,6.08,True,0.48,Rural,False,True,False,False,True,False
14,15,6.15,True,0.4,Urban,False,True,False,True,False,False
15,15,3.69,True,0.34,Urban,True,False,False,True,False,False
16,10,7.1,True,0.43,Rural,True,False,False,True,False,False
17,13,6.98,True,0.48,Urban,True,False,False,True,False,False
18,12,3.82,True,0.4,Urban,False,True,False,True,False,False
19,9,0.0,False,0.42,Urban,True,False,False,False,True,False
20,15,3.85,True,0.49,Urban,False,True,False,True,False,False
21,13,4.05,True,0.33,Urban,True,False,False,True,False,False
22,9,1.63,False,0.58,Urban,True,False,False,False,False,True
23,12,6.78,True,0.33,Urban,True,False,False,False,True,False
24,8,3.19,True,0.54,Urban,False,True,False,False,False,True
25,17,4.96,True,0.32,Urban,False,True,False,True,False,False
26,13,1.85,False,0.49,Urban,True,False,False,True,False,False
27,16,4.22,True,0.5,Urban,False,True,False,True,False,False
28,8,0.31,False,0.51,Urban,False,True,False,True,False,False
29,18,5.13,True,0.43,Urban,False,True,False,False,True,False
30,18,4.45,True,0.48,Urban,False,True,False,True,False,False
31,17,3.02,True,0.39,Rural,True,False,False,True,False,False
32,10,2.16,True,0.41,Urban,False,True,False,False,False,True
33,14,4.28,True,0.34,Rural,False,True,False,True,False,False
34,11,5.34,True,0.4,Urban,True,False,False,True,False,False
35,16,3.5,True,0.4,Rural,True,False,True,False,False,False
36,10,11.68,True,0.47,Urban,False,True,False,False,True,False
37,12,1.63,False,0.5,Urban,True,False,False,True,False,False
38,10,4.63,True,0.47,Urban,False,True,False,True,False,False
39,14,4.21,True,0.38,Urban,False,True,False,False,True,False
40,12,4.56,True,0.5,Urban,False,True,False,True,False,False
41,16,3.51,True,0.44,Urban,True,False,False,False,True,False
42,14,4.69,True,0.35,Urban,True,False,False,True,False,False
43,9,7.61,True,0.5,Urban,False,True,False,False,True,False
44,11,2.75,False,0.35,Rural,False,True,False,True,False,False
45,16,6.74,True,0.42,Urban,False,True,False,False,True,False
46,9,0.0,False,0.47,Urban,True,False,False,True,False,False
47,17,2.34,False,0.48,Rural,False,True,False,True,False,False
48,16,2.85,False,0.3,Rural,False,True,False,True,False,False
49,17,4.29,True,0.39,Rural,False,True,True,False,False,False
50,12,6.03,True,0.39,Urban,False,True,False,False,True,False
51,9,1.06,False,0.42,Urban,True,False,False,True,False,False
52,11,2.83,False,0.4,Urban,False,True,False,True,False,False
53,14,3.92,True,0.47,Urban,False,True,False,True,False,False
54,15,4.55,True,0.39,Urban,False,True,False,True,False,False
55,10,6.86,True,0.56,Rural,True,False,False,True,False,False
56,8,3.47,True,0.41,Rural,False,True,False,False,True,False
57,11,4.61,True,0.46,Urban,True,False,False,False,False,True
58,9,0.0,False,0.59,Rural,False,True,False,True,False,False
59,15,3.47,True,0.41,Rural,False,True,False,True,False,False
60,11,4.31,True,0.42,Urban,False,True,False,False,True,False
61,9,2.3,True,0.45,Urban,False,True,False,True,False,False
62,13,4.5,True,0.38,Urban,False,True,True,False,False,False
63,13,2.65,False,0.38,Rural,True,False,True,False,False,False
64,17,5.34,True,0.43,Urban,False,True,True,False,False,False
65,11,3.87,True,0.43,Urban,False,True,False,False,True,False
66,13,5.67,True,0.41,Urban,False,True,False,False,False,True
67,9,3.8,True,0.53,Rural,True,False,False,False,True,False
68,17,4.61,True,0.34,Rural,False,True,False,False,True,False
69,9,0.9,False,0.6,Rural,False,True,False,False,False,True
70,17,3.3,True,0.42,Urban,True,False,False,False,True,False
71,11,5.12,True,0.31,Urban,False,True,False,False,True,False
72,15,5.82,True,0.48,Urban,True,False,False,False,True,False
73,14,4.27,True,0.47,Rural,True,False,False,True,False,False
74,16,5.79,True,0.35,Urban,False,True,False,True,False,False
75,15,2.69,False,0.32,Urban,True,False,False,False,True,False
76,12,3.64,True,0.44,Urban,True,False,False,True,False,False
77,9,4.23,True,0.46,Urban,False,True,False,False,True,False
78,12,6.15,True,0.41,Urban,False,True,True,False,False,False
79,15,5.72,True,0.33,Urban,True,False,False,False,False,True
80,17,3.41,True,0.31,Rural,False,True,True,False,False,False
81,16,4.45,True,0.48,Urban,False,True,True,False,False,False
82,16,2.9,False,0.31,Urban,False,True,False,True,False,False
83,8,7.54,True,0.46,Urban,True,False,False,True,False,False
84,16,4.34,True,0.48,Urban,False,True,False,False,False,True
85,14,5.43,True,0.49,Urban,True,False,False,True,False,False
86,16,4.78,True,0.33,Rural,True,False,False,False,False,True
87,15,3.64,True,0.48,Urban,True,False,False,False,False,True
88,8,1.67,False,0.45,Rural,True,False,False,True,False,False
89,15,4.96,True,0.42,Rural,True,False,False,False,False,True
90,15,5.91,True,0.44,Urban,False,True,False,True,False,False
91,18,6.3,True,0.39,Rural,True,False,False,False,False,True
92,10,0.0,False,0.4,Urban,True,False,False,False,False,True
93,8,3.39,True,0.43,Rural,False,True,False,False,True,False
94,15,3.57,True,0.32,Rural,False,True,False,True,False,False
95,10,1.36,False,0.57,Urban,True,False,False,True,False,False
96,10,0.0,False,0.45,Rural,False,True,False,True,False,False
97,8,2.75,True,0.53,Rural,False,True,False,False,True,False
98,18,6.4,True,0.32,Urban,True,False,False,True,False,False
99,12,3.77,True,0.48,Rural,True,False,True,False,False,False
100,17,4.73,True,0.47,Urban,True,False,False,True,False,False
101,14,5.76,True,0.4,Urban,False,True,False,False,False,True
